date,v1
2019-03-25,12.55
2019-03-26,12.69
2019-03-27,12.59
2019-03-28,12.61
2019-03-29,12.69
2019-04-01,12.77
2019-04-02,12.82
2019-04-03,12.85
2019-04-04,12.83
2019-04-05,12.87
2019-04-08,12.79
2019-04-09,12.64
2019-04-10,12.73
2019-04-11,12.86
2019-04-12,13.06
2019-04-15,13.1
2019-04-16,12.79
2019-04-17,12.69
2019-04-18,12.81
2019-04-22,12.6
2019-04-23,12.75
2019-04-24,12.94
2019-04-25,13.01
2019-04-26,13.13
2019-04-29,12.99
2019-04-30,13.05
2019-05-01,13.01
2019-05-02,13
2019-05-03,13.07
2019-05-06,13.05
2019-05-07,12.92
2019-05-08,12.83
2019-05-09,12.96
2019-05-10,13.14
2019-05-13,13.04
2019-05-14,13
2019-05-15,13.11
2019-05-16,13.29
2019-05-17,13.31
2019-05-20,13.2
2019-05-21,13.36
2019-05-22,13.35
2019-05-23,13.41
2019-05-24,13.53
2019-05-28,13.34
2019-05-29,13.27
2019-05-30,13.35
2019-05-31,13.46
2019-06-03,13.55
2019-06-04,13.7
2019-06-05,13.82
2019-06-06,13.96
2019-06-07,13.99
2019-06-10,14.07
2019-06-11,14.15
2019-06-12,14.16
2019-06-13,14.22
2019-06-14,14.34
2019-06-17,14.43
2019-06-18,14.44
2019-06-19,14.57
2019-06-20,14.53
2019-06-21,14.26
2019-06-24,14.17
2019-06-25,14.21
2019-06-26,13.88
2019-06-27,13.93
2019-06-28,14.04
2019-07-01,14.43
2019-07-02,14.65
2019-07-03,14.78
2019-07-05,14.73
2019-07-08,14.85
2019-07-09,15.03
2019-07-10,15.07
2019-07-11,14.97
2019-07-12,15.01
2019-07-15,15.06
2019-07-16,15.04
2019-07-17,14.97
2019-07-18,14.9
2019-07-19,14.54
2019-07-22,14.61
2019-07-23,14.73
2019-07-24,14.62
2019-07-25,14.68
2019-07-26,14.72
2019-07-29,14.83
2019-07-30,14.93
2019-07-31,14.77
2019-08-01,14.76
2019-08-02,14.88
2019-08-05,14.58
2019-08-06,14.72
2019-08-07,14.84
2019-08-08,14.98
2019-08-09,14.98
2019-08-12,14.95
2019-08-13,14.99
2019-08-14,14.85
2019-08-15,14.98
2019-08-16,15.23
2019-08-19,15.37
2019-08-20,15.29
2019-08-21,15.36
2019-08-22,15.61
2019-08-23,15.37
2019-08-26,15.61
2019-08-27,15.63
2019-08-28,15.46
2019-08-29,15.56
2019-08-30,15.47
2019-09-03,15.67
2019-09-04,15.62
2019-09-05,15.39
2019-09-06,15.48
2019-09-09,15.25
2019-09-10,15.04
2019-09-11,14.94
2019-09-12,15.03
2019-09-13,14.98
