Date_Index,Daily Estimated Operating Income
1272,685.5054945054945
1273,685.6043956043956
1274,685.7032967032967
1275,685.8021978021978
1276,685.9010989010989
1277,686.0
1278,686.0434782608696
1279,686.0869565217391
1280,686.1304347826087
1281,686.1739130434783
1282,686.2173913043479
1283,686.2608695652174
1284,686.304347826087
1285,686.3478260869565
1286,686.3913043478261
1287,686.4347826086956
1288,686.4782608695652
1289,686.5217391304348
1290,686.5652173913044
1291,686.6086956521739
1292,686.6521739130435
1293,686.695652173913
1294,686.7391304347826
1295,686.7826086956521
1296,686.8260869565217
1297,686.8695652173913
1298,686.9130434782609
1299,686.9565217391304
1300,687.0
1301,687.0434782608696
1302,687.0869565217391
1303,687.1304347826087
1304,687.1739130434783
1305,687.2173913043479
1306,687.2608695652174
1307,687.304347826087
1308,687.3478260869565
1309,687.3913043478261
1310,687.4347826086956
1311,687.4782608695652
1312,687.5217391304348
1313,687.5652173913044
1314,687.6086956521739
1315,687.6521739130435
1316,687.695652173913
1317,687.7391304347826
1318,687.7826086956521
1319,687.8260869565217
1320,687.8695652173913
1321,687.9130434782609
1322,687.9565217391304
1323,688.0
1324,688.0434782608696
1325,688.0869565217391
1326,688.1304347826087
1327,688.1739130434783
1328,688.2173913043479
1329,688.2608695652174
1330,688.304347826087
1331,688.3478260869565
1332,688.3913043478261
1333,688.4347826086956
1334,688.4782608695652
1335,688.5217391304348
1336,688.5652173913044
1337,688.6086956521739
1338,688.6521739130435
1339,688.695652173913
1340,688.7391304347826
1341,688.7826086956521
1342,688.8260869565217
1343,688.8695652173913
1344,688.9130434782609
1345,688.9565217391304
1346,689.0
1347,689.0434782608696
1348,689.0869565217391
1349,689.1304347826087
1350,689.1739130434783
1351,689.2173913043479
1352,689.2608695652174
1353,689.304347826087
1354,689.3478260869565
1355,689.3913043478261
1356,689.4347826086956
1357,689.4782608695652
1358,689.5217391304348
1359,689.5652173913044
1360,689.6086956521739
1361,689.6521739130435
1362,689.695652173913
1363,689.7391304347826
1364,689.7826086956521
1365,689.8260869565217
1366,689.8695652173913
1367,689.9130434782609
1368,689.9565217391304
1369,690.0
1370,690.6413043478261
1371,691.2826086956521
1372,691.9239130434783
1373,692.5652173913044
1374,693.2065217391304
1375,693.8478260869565
1376,694.4891304347826
1377,695.1304347826087
1378,695.7717391304348
1379,696.4130434782609
1380,697.054347826087
1381,697.695652173913
1382,698.3369565217391
1383,698.9782608695652
1384,699.6195652173913
1385,700.2608695652174
1386,700.9021739130435
1387,701.5434782608696
1388,702.1847826086956
1389,702.8260869565217
1390,703.4673913043479
1391,704.1086956521739
1392,704.75
1393,705.3913043478261
1394,706.0326086956521
1395,706.6739130434783
1396,707.3152173913044
1397,707.9565217391304
1398,708.5978260869565
1399,709.2391304347826
1400,709.8804347826087
1401,710.5217391304348
1402,711.1630434782609
1403,711.804347826087
1404,712.445652173913
1405,713.0869565217391
1406,713.7282608695652
1407,714.3695652173913
1408,715.0108695652174
1409,715.6521739130435
1410,716.2934782608695
1411,716.9347826086956
1412,717.5760869565217
1413,718.2173913043479
1414,718.8586956521739
1415,719.5
1416,720.1413043478261
1417,720.7826086956521
1418,721.4239130434783
1419,722.0652173913044
1420,722.7065217391304
1421,723.3478260869565
1422,723.9891304347826
